bodytype,Car_seats,modelYear,kilometer,fueltype,ownerNo,transmission,price,Insurance,engine_cc,oem,gear_box,Mileage,drivetype,city
SUV,5.0,2020,33539,Petrol,2,Automatic,1675000,Comprehensive,1353.0,Kia,7,16.5,FWD,bangalore
Hatchback,5.0,2018,66837,Petrol,2,Manual,530000,Comprehensive,1199.0,Tata,5,23.84,FWD,bangalore
Sedan,5.0,2022,400,Diesel,1,Automatic,7990000,Third Party,2925.0,Mercedes-Benz,9,18.9,FWD,bangalore
Hatchback,5.0,2008,60000,Petrol,2,Manual,250000,Third Party insurance,796.0,Maruti,5,19.7,FWD,bangalore
Hatchback,5.0,2019,44285,Petrol,1,Manual,715000,Third Party insurance,1197.0,Hyundai,5,18.6,FWD,bangalore
SUV,7.0,2014,100000,Diesel,2,Automatic,3500000,Third Party insurance,2987.0,Mercedes-Benz,7,11.3,AWD,bangalore
SUV,6.0,2021,25000,Diesel,1,Automatic,2250000,Comprehensive,1956.0,Tata,6,14.08,FWD,bangalore
Hatchback,5.0,2018,36735,Petrol,1,Manual,625000,Comprehensive,1197.0,Hyundai,5,18.9,FWD,bangalore
SUV,7.0,2015,79000,Diesel,1,Automatic,2695000,Comprehensive,2967.0,Audi,8,12.07,AWD,bangalore
SUV,8.0,2010,120000,Diesel,2,Manual,650000,Third Party insurance,2179.0,Mahindra,5,12.05,FWD,bangalore
Hatchback,5.0,2022,10000,Petrol,1,Automatic,550000,Third Party insurance,999.0,Renault,5,22.0,FWD,bangalore
SUV,5.0,2018,53645,Diesel,1,Manual,825000,Comprehensive,1497.0,Tata,6,21.5,FWD,bangalore
Hatchback,5.0,2006,100000,Petrol,2,Manual,220000,Third Party insurance,1341.0,Hyundai,5,15.3,FWD,bangalore
Hatchback,5.0,2014,53982,Petrol,1,Automatic,428000,Comprehensive,998.0,Maruti,5,26.68,FWD,bangalore
Sedan,5.0,2014,110000,Diesel,1,Manual,695000,Third Party insurance,1498.0,Skoda,5,21.14,FWD,bangalore
